		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001000011  265  240  226  229  256  238  241  242  5.096185 0.747248 SUCCESS  30
001000101  243  248  223  227  237  255  231  195 14.872303 0.061677 SUCCESS  31
001000111  225  255  256  246  217  248  243  267  8.066091 0.427041 SUCCESS  32
001001011  247  247  239  220  265  213  251  248  8.861526 0.354112 SUCCESS  33
001001101  261  233  260  268  266  275  218  260 15.238775 0.054666 SUCCESS  34
001001111  257  219  276  255  250  248  238  254  8.964266 0.345319 SUCCESS  35
001010011  231  248  214  262  229  226  250  247  8.534244 0.383095 SUCCESS  36
001010101  264  259  261  250  260  220  239  244  7.608531 0.472613 SUCCESS  37
001010111  255  217  237  233  232  239  239  255  5.704148 0.680332 SUCCESS  38
001011011  249  257  238  230  229  239  267  240  5.176682 0.738536 SUCCESS  39
001011101  254  238  246  256  228  246  263  262  5.163972 0.739915 SUCCESS  40
001011111  225  261  241  216  244  239  266  236  8.567078 0.380121 SUCCESS  41
001100101  267  234  255  207  228  259  243  261 12.242390 0.140712 SUCCESS  42
001100111  266  226  252  240  269  261  234  222 10.090161 0.258755 SUCCESS  43
001101011  219  237  233  245  226  248  251  233  5.597172 0.692252 SUCCESS  44
001101101  264  259  237  262  239  207  235  213 14.587387 0.067683 SUCCESS  45
001101111  260  246  235  263  231  241  258  264  6.205134 0.624266 SUCCESS  46
001110101  239  242  254  242  232  239  277  235  6.228436 0.621661 SUCCESS  47
001110111  247  239  258  260  238  299  222  235 17.372998 0.026451 SUCCESS  48
001111011  242  255  223  255  225  234  245  244  4.899180 0.768296 SUCCESS  49
001111101  251  232  253  236  260  248  262  257  4.623796 0.796924 SUCCESS  50
001111111  240  218  231  219  250  254  246  204 13.763354 0.088146 SUCCESS  51
010000011  258  235  251  238  234  254  237  230  3.435410 0.904144 SUCCESS  52
010000111  255  251  213  254  244  233  244  249  5.843958 0.664706 SUCCESS  53
010001011  232  254  236  237  246  270  261  226  6.980445 0.538744 SUCCESS  54
010001111  239  241  228  258  263  246  239  281  9.466311 0.304497 SUCCESS  55
010010011  259  247  227  248  257  274  218  255 10.154770 0.254331 SUCCESS  56
010010111  241  237  220  215  265  217  246  251 11.494617 0.175217 SUCCESS  57
010011011  283  258  230  277  250  244  226  245 14.183844 0.077098 SUCCESS  58
010011111  240  230  243  233  260  248  247  223  4.504111 0.809022 SUCCESS  59
010100011  284  223  275  247  270  245  255  241 16.082932 0.041208 SUCCESS  60
010100111  242  262  218  251  236  242  227  249  6.106631 0.635289 SUCCESS  61
010101011  248  241  262  256  249  238  239  238  2.585958 0.957602 SUCCESS  62
010101111  240  238  249  223  238  233  252  238  3.327375 0.912166 SUCCESS  63
010110011  243  251  239  248  244  245  250  234  0.964372 0.998464 SUCCESS  64
010110111  265  262  240  249  255  222  256  227  7.787530 0.454495 SUCCESS  65
